Instance name, X location, Y location, Voltage
_314_, 87.14, 13.6, 1.79931
_347_, 87.14, 13.6, 1.79931
_379_, 87.14, 13.6, 1.79931
_380_, 87.14, 13.6, 1.79931
_426_, 87.14, 13.6, 1.79931
input20, 87.14, 13.6, 1.79931
input21, 87.14, 13.6, 1.79931
output48, 87.14, 13.6, 1.79931
FILLER_0_1_169, 87.14, 13.6, 1.79931
FILLER_0_2_180, 87.14, 13.6, 1.79931
_384_, 100.2, 13.6, 1.79924
_385_, 100.2, 13.6, 1.79924
_425_, 100.2, 13.6, 1.79924
output49, 100.2, 13.6, 1.79924
output50, 100.2, 13.6, 1.79924
fanout109, 100.2, 13.6, 1.79924
_198_, 113.26, 13.6, 1.79918
_386_, 113.26, 13.6, 1.79918
_387_, 113.26, 13.6, 1.79918
_431_, 113.26, 13.6, 1.79918
_433_, 113.26, 13.6, 1.79918
input22, 113.26, 13.6, 1.79918
output41, 113.26, 13.6, 1.79918
output73, 113.26, 13.6, 1.79918
ANTENNA_4, 113.26, 13.6, 1.79918
_316_, 126.32, 13.6, 1.79912
_352_, 126.32, 13.6, 1.79912
_353_, 126.32, 13.6, 1.79912
_356_, 126.32, 13.6, 1.79912
_432_, 126.32, 13.6, 1.79912
output36, 126.32, 13.6, 1.79912
fanout99, 126.32, 13.6, 1.79912

