Instance name, X location, Y location, Voltage
_203_, 25.14, 38.08, 5.99483e-05
output28, 25.14, 38.08, 5.99483e-05
_205_, 25.14, 32.64, 0.000110845
_277_, 25.14, 32.64, 0.000110845
_301_, 25.14, 32.64, 0.000110845
_302_, 25.14, 32.64, 0.000110845
_445_, 25.14, 32.64, 0.000110845
output29, 25.14, 32.64, 0.000110845
FILLER_0_9_44, 25.14, 32.64, 0.000110845
_245_, 25.14, 27.2, 9.759e-05
_246_, 25.14, 27.2, 9.759e-05
_278_, 25.14, 27.2, 9.759e-05
_285_, 25.14, 27.2, 9.759e-05
_286_, 25.14, 27.2, 9.759e-05
_414_, 25.14, 27.2, 9.759e-05
_443_, 25.14, 27.2, 9.759e-05
_185_, 25.14, 21.76, 9.3373e-05
_242_, 25.14, 21.76, 9.3373e-05
_250_, 25.14, 21.76, 9.3373e-05
_265_, 25.14, 21.76, 9.3373e-05
_287_, 25.14, 21.76, 9.3373e-05
_288_, 25.14, 21.76, 9.3373e-05
FILLER_0_3_35, 25.14, 21.76, 9.3373e-05
FILLER_0_4_53, 25.14, 21.76, 9.3373e-05
FILLER_0_5_45, 25.14, 21.76, 9.3373e-05
_218_, 25.14, 16.32, 9.49142e-05
_248_, 25.14, 16.32, 9.49142e-05
_251_, 25.14, 16.32, 9.49142e-05
_252_, 25.14, 16.32, 9.49142e-05
_439_, 25.14, 16.32, 9.49142e-05
FILLER_0_1_42, 25.14, 16.32, 9.49142e-05
FILLER_0_2_33, 25.14, 16.32, 9.49142e-05
_253_, 25.14, 10.88, 0.000182056
_307_, 25.14, 10.88, 0.000182056
_308_, 25.14, 10.88, 0.000182056
_393_, 25.14, 10.88, 0.000182056
input13, 25.14, 10.88, 0.000182056
input15, 25.14, 10.88, 0.000182056
output40, 25.14, 10.88, 0.000182056
PHY_EDGE_ROW_9_Left_19, 5.52, 38.08, 5.99483e-05
PHY_EDGE_ROW_9_Right_9, 139.38, 38.08, 0.000334009
input24, 139.38, 38.08, 0.000334009
output52, 139.38, 38.08, 0.000334009
_201_, 15.33, 38.08, 5.99483e-05
output27, 15.33, 38.08, 5.99483e-05
output70, 15.33, 38.08, 5.99483e-05
_204_, 37.833, 38.08, 0.000120654
_206_, 37.833, 38.08, 0.000120654
_304_, 50.526, 38.08, 0.00018136
output31, 50.526, 38.08, 0.00018136
fanout110, 50.526, 38.08, 0.00018136
_420_, 63.22, 38.08, 0.000241726
output32, 63.22, 38.08, 0.000241726
_440_, 75.913, 38.08, 0.000287452
fanout115, 75.913, 38.08, 0.000287452
_421_, 88.606, 38.08, 0.000305017
_402_, 101.3, 38.08, 0.000320636
fanout106, 101.3, 38.08, 0.000320636
_334_, 113.993, 38.08, 0.000327646
_341_, 113.993, 38.08, 0.000327646
input5, 126.686, 38.08, 0.000331782
FILLER_0_9_258, 126.686, 38.08, 0.000331782
PHY_EDGE_ROW_7_Left_17, 5.52, 32.64, 0.000129521
PHY_EDGE_ROW_8_Left_18, 5.52, 32.64, 0.000129521
output26, 5.52, 32.64, 0.000129521
output63, 5.52, 32.64, 0.000129521
output71, 5.52, 32.64, 0.000129521
output72, 5.52, 32.64, 0.000129521
PHY_EDGE_ROW_7_Right_7, 139.38, 32.64, 0.000578599
PHY_EDGE_ROW_8_Right_8, 139.38, 32.64, 0.000578599
output58, 139.38, 32.64, 0.000578599
output59, 139.38, 32.64, 0.000578599
output60, 139.38, 32.64, 0.000578599
FILLER_0_7_281, 139.38, 32.64, 0.000578599
_202_, 15.33, 32.64, 0.0001205
_297_, 15.33, 32.64, 0.0001205
_298_, 15.33, 32.64, 0.0001205
_299_, 15.33, 32.64, 0.0001205
_300_, 15.33, 32.64, 0.0001205
input25, 15.33, 32.64, 0.0001205
fanout104, 15.33, 32.64, 0.0001205
_207_, 37.833, 32.64, 0.000203918
_376_, 37.833, 32.64, 0.000203918
_423_, 37.833, 32.64, 0.000203918
output30, 37.833, 32.64, 0.000203918
FILLER_0_7_57, 37.833, 32.64, 0.000203918
_208_, 50.526, 32.64, 0.000296255
_209_, 50.526, 32.64, 0.000296255
_214_, 50.526, 32.64, 0.000296255
_281_, 50.526, 32.64, 0.000296255
_303_, 50.526, 32.64, 0.000296255
_357_, 50.526, 32.64, 0.000296255
_375_, 50.526, 32.64, 0.000296255
_428_, 50.526, 32.64, 0.000296255
fanout105, 50.526, 32.64, 0.000296255
FILLER_0_8_90, 50.526, 32.64, 0.000296255
_192_, 63.22, 32.64, 0.000374381
_351_, 63.22, 32.64, 0.000374381
_364_, 63.22, 32.64, 0.000374381
_382_, 63.22, 32.64, 0.000374381
fanout111, 63.22, 32.64, 0.000374381
_275_, 75.913, 32.64, 0.000442054
_279_, 75.913, 32.64, 0.000442054
_397_, 75.913, 32.64, 0.000442054
input1, 75.913, 32.64, 0.000442054
input10, 75.913, 32.64, 0.000442054
fanout112, 75.913, 32.64, 0.000442054
fanout117, 75.913, 32.64, 0.000442054
FILLER_0_7_149, 75.913, 32.64, 0.000442054
FILLER_0_8_156, 75.913, 32.64, 0.000442054
_367_, 88.606, 32.64, 0.000492565
_368_, 88.606, 32.64, 0.000492565
_422_, 88.606, 32.64, 0.000492565
fanout114, 88.606, 32.64, 0.000492565
FILLER_0_8_169, 88.606, 32.64, 0.000492565
_188_, 101.3, 32.64, 0.00053898
_235_, 101.3, 32.64, 0.00053898
_340_, 101.3, 32.64, 0.00053898
_343_, 101.3, 32.64, 0.00053898
_442_, 101.3, 32.64, 0.00053898
input8, 101.3, 32.64, 0.00053898
input11, 101.3, 32.64, 0.00053898
fanout107, 101.3, 32.64, 0.00053898
fanout108, 101.3, 32.64, 0.00053898
_195_, 113.993, 32.64, 0.000566131
_197_, 113.993, 32.64, 0.000566131
_320_, 113.993, 32.64, 0.000566131
_324_, 113.993, 32.64, 0.000566131
_331_, 113.993, 32.64, 0.000566131
_339_, 113.993, 32.64, 0.000566131
_344_, 113.993, 32.64, 0.000566131
input4, 113.993, 32.64, 0.000566131
FILLER_0_8_239, 113.993, 32.64, 0.000566131
FILLER_0_9_248, 113.993, 32.64, 0.000566131
_436_, 126.686, 32.64, 0.000578599
input6, 126.686, 32.64, 0.000578599
input7, 126.686, 32.64, 0.000578599
output57, 126.686, 32.64, 0.000578599
output61, 126.686, 32.64, 0.000578599
ANTENNA_3, 126.686, 32.64, 0.000578599
FILLER_0_9_266, 126.686, 32.64, 0.000578599
PHY_EDGE_ROW_5_Left_15, 5.52, 27.2, 9.95727e-05
PHY_EDGE_ROW_6_Left_16, 5.52, 27.2, 9.95727e-05
output66, 5.52, 27.2, 9.95727e-05
output67, 5.52, 27.2, 9.95727e-05
output68, 5.52, 27.2, 9.95727e-05
output69, 5.52, 27.2, 9.95727e-05
PHY_EDGE_ROW_5_Right_5, 139.38, 27.2, 0.000434673
PHY_EDGE_ROW_6_Right_6, 139.38, 27.2, 0.000434673
output53, 139.38, 27.2, 0.000434673
output54, 139.38, 27.2, 0.000434673
output56, 139.38, 27.2, 0.000434673
ANTENNA_1, 139.38, 27.2, 0.000434673
FILLER_0_5_281, 139.38, 27.2, 0.000434673
_200_, 15.33, 27.2, 9.95726e-05
_273_, 15.33, 27.2, 9.95726e-05
_274_, 15.33, 27.2, 9.95726e-05
_291_, 15.33, 27.2, 9.95726e-05
_292_, 15.33, 27.2, 9.95726e-05
output85, 15.33, 27.2, 9.95726e-05
FILLER_0_5_15, 15.33, 27.2, 9.95726e-05
_177_, 37.833, 27.2, 0.000184631
_355_, 37.833, 27.2, 0.000184631
_405_, 37.833, 27.2, 0.000184631
_406_, 37.833, 27.2, 0.000184631
FILLER_0_6_78, 37.833, 27.2, 0.000184631
_244_, 50.526, 27.2, 0.000261025
_282_, 50.526, 27.2, 0.000261025
_359_, 50.526, 27.2, 0.000261025
_374_, 50.526, 27.2, 0.000261025
_419_, 50.526, 27.2, 0.000261025
FILLER_0_5_94, 50.526, 27.2, 0.000261025
FILLER_0_7_108, 50.526, 27.2, 0.000261025
_211_, 63.22, 27.2, 0.000326554
_241_, 63.22, 27.2, 0.000326554
_276_, 63.22, 27.2, 0.000326554
_280_, 63.22, 27.2, 0.000326554
_283_, 63.22, 27.2, 0.000326554
_284_, 63.22, 27.2, 0.000326554
_305_, 63.22, 27.2, 0.000326554
_362_, 63.22, 27.2, 0.000326554
output33, 63.22, 27.2, 0.000326554
