Instance name, X location, Y location, Voltage
PHY_EDGE_ROW_5_Right_5, 139.38, 27.2, 0.000381001
PHY_EDGE_ROW_6_Right_6, 139.38, 27.2, 0.000381001
output53, 139.38, 27.2, 0.000381001
output54, 139.38, 27.2, 0.000381001
output56, 139.38, 27.2, 0.000381001
ANTENNA_2, 139.38, 27.2, 0.000381001
FILLER_0_5_281, 139.38, 27.2, 0.000381001
_360_, 15.33, 27.2, 8.13038e-05
_404_, 15.33, 27.2, 8.13038e-05
_405_, 15.33, 27.2, 8.13038e-05
_438_, 15.33, 27.2, 8.13038e-05
FILLER_0_6_11, 15.33, 27.2, 8.13038e-05
_202_, 37.833, 27.2, 0.000127004
_211_, 37.833, 27.2, 0.000127004
_287_, 37.833, 27.2, 0.000127004
_399_, 37.833, 27.2, 0.000127004
_412_, 37.833, 27.2, 0.000127004
fanout106, 37.833, 27.2, 0.000127004
_180_, 50.526, 27.2, 0.000178812
_248_, 50.526, 27.2, 0.000178812
_289_, 50.526, 27.2, 0.000178812
_290_, 50.526, 27.2, 0.000178812
_356_, 50.526, 27.2, 0.000178812
_406_, 50.526, 27.2, 0.000178812
_408_, 50.526, 27.2, 0.000178812
_410_, 50.526, 27.2, 0.000178812
FILLER_0_5_97, 50.526, 27.2, 0.000178812
_172_, 63.22, 27.2, 0.00022976
_291_, 63.22, 27.2, 0.00022976
_292_, 63.22, 27.2, 0.00022976
_293_, 63.22, 27.2, 0.00022976
_294_, 63.22, 27.2, 0.00022976
_352_, 63.22, 27.2, 0.00022976
fanout116, 63.22, 27.2, 0.00022976
FILLER_0_5_113, 63.22, 27.2, 0.00022976
FILLER_0_7_126, 63.22, 27.2, 0.00022976
_190_, 75.913, 27.2, 0.000278006
_322_, 75.913, 27.2, 0.000278006
_332_, 75.913, 27.2, 0.000278006
_394_, 75.913, 27.2, 0.000278006
_436_, 75.913, 27.2, 0.000278006
fanout113, 75.913, 27.2, 0.000278006
FILLER_0_6_166, 75.913, 27.2, 0.000278006
_178_, 88.606, 27.2, 0.000321075
_272_, 88.606, 27.2, 0.000321075
_295_, 88.606, 27.2, 0.000321075
_317_, 88.606, 27.2, 0.000321075
_318_, 88.606, 27.2, 0.000321075
_319_, 88.606, 27.2, 0.000321075
_321_, 88.606, 27.2, 0.000321075
_435_, 88.606, 27.2, 0.000321075
_267_, 101.3, 27.2, 0.000354169
_271_, 101.3, 27.2, 0.000354169
_276_, 101.3, 27.2, 0.000354169
_297_, 101.3, 27.2, 0.000354169
_299_, 101.3, 27.2, 0.000354169
_300_, 101.3, 27.2, 0.000354169
