net,length_um
_107_,159.59µm
net56,155.97µm
net57,150.97µm
net53,148.28µm
net55,144.48µm
net54,144µm
net51,143.06µm
net3,142.92µm
counter\[1\],135.975µm
_058_,134.29µm
net99,129.94µm
counter\[2\],129.8µm
net59,128.19µm
net58,127.49µm
counter\[8\],124.78µm
net117,123.98µm
net97,123.235µm
net34,123µm
net102,122.87µm
net115,121.68µm
_106_,118.755µm
net60,116.715µm
net2,116.385µm
net38,116.26µm
net75,114.68µm
_088_,111.74µm
net101,110.68µm
counter\[11\],109.835µm
net112,109.09µm
counter\[6\],109µm
net76,107.98µm
net110,105.44µm
_108_,105.32µm
net103,103.71µm
net14,102.95µm
result\[7\],101.82µm
net61,99.84µm
net78,98.98µm
counter\[10\],97.395µm
net109,96.19µm
net114,94.39µm
net73,93.92µm
counter\[9\],93.5µm
counter\[3\],93.34µm
net95,92.845µm
net111,92.02µm
net105,91.72µm
net52,91.6µm
net77,91.5µm
_090_,89.4µm
result\[8\],89µm
result\[6\],88.66µm
net108,88.46µm
net100,87.32µm
net106,86.66µm
net24,85.04µm
result\[9\],83.85µm
result\[3\],81.02µm
result\[4\],81.02µm
net26,75.84µm
net39,75.79µm
net74,75.6µm
net113,73.785µm
net116,70.96µm
_129_,70.8µm
counter\[5\],69.53µm
net83,68.14µm
net63,66.48µm
_136_,64.06µm
result\[2\],61.77µm
net104,61.12µm
net79,60.52µm
net8,59.91µm
_086_,59.86µm
result\[5\],54.8µm
_066_,54.35µm
net85,52.78µm
_028_,52.695µm
net96,51.98µm
net80,51.94µm
net5,49.98µm
net94,49.54µm
result\[1\],49.22µm
net82,48.44µm
_148_,47.805µm
net107,46.08µm
_135_,44.775µm
_092_,44.72µm
state\[1\],43.45µm
net25,43.44µm
net72,41.76µm
net10,41.53µm
_059_,41.42µm
_071_,41.16µm
_120_,41.06µm
net33,40.46µm
net81,40.4µm
_083_,40.29µm
counter\[0\],38.455µm
net4,37.67µm
result\[0\],36.76µm
net6,36.2µm
_062_,35.11µm
vss_n_o[0],34.65µm
net12,34.62µm
net98,33.72µm
result\[10\],32.91µm
_094_,31.86µm
net22,31.52µm
_074_,30.38µm
net23,30.18µm
net93,30.18µm
_073_,29.42µm
offset_cal_cycle,29.42µm
_151_,29.08µm
net1,29.055µm
_029_,28.4µm
net65,28.12µm
vss_n_o[2],28.03µm
vss_n_o[1],27.65µm
vcm_o_i[10],25.94µm
_112_,25.8µm
_076_,25.38µm
counter\[7\],25.28µm
vss_n_o[4],24.45µm
_134_,24.26µm
net7,23.82µm
counter_sample,23.42µm
en_vcm_sw_o_i,23.4µm
_064_,22.72µm
state\[0\],22.56µm
_060_,21.34µm
vcm_o_i[9],21.02µm
_046_,20.7µm
debug_mux[3],20.62µm
net71,20.54µm
vss_n_o[5],20.41µm
