net,length_um
net92,20.32µm
vcm_dummy_o,19.62µm
_044_,19.54µm
vss_n_o[7],19.53µm
single_ended,19.48µm
net50,19.42µm
_069_,19.38µm
vcm_o_i[8],19.26µm
net64,19.06µm
net84,18.9µm
_056_,18.7µm
vss_p_o[0],18.61µm
net91,18.14µm
vcm_o_i[3],17.58µm
rst_z,17.56µm
start,17.56µm
debug_out,17.22µm
clk,17.02µm
vcm_o[3],16.96µm
data[5],16.8µm
_063_,16.63µm
_121_,16.56µm
_068_,16.5µm
net86,16.44µm
vcm_o_i[7],16.2µm
vss_n_o[8],15.85µm
comp_n,15.82µm
vcm_o_i[1],15.82µm
vcm_o_i[5],15.82µm
result\[11\],15.8µm
_033_,15.72µm
vcm_o[10],15.6µm
_030_,15.5µm
vss_p_o[1],15.41µm
_047_,15.36µm
vin_p_sw_on,15.23µm
en_vcm_sw_o,15.12µm
_067_,15.045µm
vcm_o[8],15µm
vss_p_o[2],14.95µm
vcm_o[9],14.66µm
_169_,14.54µm
net62,14.46µm
_061_,14.04µm
_078_,13.86µm
vcm_o[6],13.76µm
data[3],13.74µm
en_offset_cal_o,13.64µm
sample_o,13.64µm
vcm_o_i[6],13.06µm
debug_mux[2],13.04µm
debug_mux[1],12.7µm
vcm_o[7],12.38µm
data[0],12.36µm
data[1],12.36µm
_003_,12.24µm
clk_data,12.24µm
debug_mux[0],12.24µm
vref_z_p_o[7],12.19µm
vcm_o_i[4],12.14µm
en_offset_cal,12.12µm
_055_,12.1µm
net18,12.08µm
en_comp,11.92µm
vref_z_n_o[3],11.73µm
vref_z_n_o[5],11.73µm
vss_n_o[10],11.73µm
_065_,11.64µm
vcm_o[1],11.46µm
data[2],11.44µm
data[4],11.32µm
vss_p_o[10],11.27µm
vss_p_o[5],11.27µm
vcm_o_i[2],11.22µm
_050_,11.12µm
vcm_o[2],11µm
vcm_o[5],11µm
comp_p,10.88µm
_043_,10.86µm
vin_n_sw_on,10.79µm
vcm_o_i[0],10.76µm
vref_z_n_o[9],10.71µm
net37,10.7µm
_149_,10.68µm
net32,10.66µm
net88,10.66µm
vss_p_o[3],10.59µm
net17,10.56µm
vcm_o[0],10.54µm
net21,10.32µm
net87,10.18µm
net90,10.18µm
vref_z_p_o[9],10.11µm
_013_,10µm
vss_p_o[6],9.97µm
vss_p_o[8],9.97µm
_124_,9.9µm
_039_,9.74µm
vref_z_p_o[10],9.67µm
vcm_o[4],9.62µm
vref_z_n_o[7],9.55µm
vss_n_o[6],9.43µm
net67,9.2µm
_035_,9.04µm
_041_,9.04µm
_104_,9.04µm
_051_,8.9µm
_027_,8.875µm
vref_z_p_o[1],8.75µm
vref_z_p_o[5],8.75µm
vss_p_o[7],8.75µm
_166_,8.7µm
vref_z_n_o[2],8.53µm
vss_n_o[9],8.53µm
_049_,8.52µm
_142_,8.5µm
_080_,8.46µm
_141_,8.44µm
vss_p_o[4],8.41µm
net45,8.36µm
net13,8.16µm
vref_z_p_o[3],8.07µm
vss_n_o[3],8.07µm
_014_,8µm
_007_,7.9µm
_109_,7.9µm
_114_,7.9µm
_000_,7.78µm
_171_,7.64µm
net68,7.48µm
vref_z_n_o[0],7.37µm
vref_z_n_o[10],7.37µm
vref_z_n_o[4],7.37µm
vref_z_n_o[6],7.37µm
vref_z_n_o[8],7.37µm
net31,7.24µm
_157_,7.06µm
net49,7.04µm
vref_z_n_o[1],7.03µm
vref_z_p_o[0],6.91µm
vref_z_p_o[2],6.91µm
vref_z_p_o[4],6.91µm
vref_z_p_o[6],6.91µm
vref_z_p_o[8],6.91µm
vss_p_o[9],6.91µm
_042_,6.86µm
net41,6.7µm
net89,6.3µm
_079_,6.28µm
_154_,6.2µm
_119_,6.18µm
_153_,6.18µm
_111_,6.08µm
_093_,5.82µm
_168_,5.8µm
_143_,5.78µm
net35,5.74µm
net11,5.52µm
_075_,5.48µm
_017_,5.34µm
net44,5.26µm
_113_,5.24µm
_160_,5.06µm
_070_,5.02µm
_057_,4.94µm
net30,4.8µm
_031_,4.78µm
_138_,4.77µm
net36,4.76µm
_024_,4.56µm
_006_,4.54µm
_173_,4.54µm
net47,4.48µm
_115_,4.42µm
net9,4.42µm
_053_,4.36µm
_048_,4.34µm
net48,4.34µm
_082_,4.22µm
_132_,4.2µm
_005_,4.12µm
_022_,4.12µm
_174_,4.12µm
counter\[4\],4.12µm
_072_,4.1µm
_110_,4.1µm
_012_,4.08µm
_128_,3.88µm
_172_,3.88µm
single_ended_reg,3.88µm
_026_,3.78µm
_038_,3.78µm
_131_,3.78µm
_002_,3.76µm
_130_,3.66µm
_145_,3.445µm
_087_,3.44µm
_137_,3.44µm
net15,3.44µm
net42,3.44µm
_054_,3.42µm
_105_,3.42µm
_152_,3.3µm
_004_,3.2µm
_009_,3.1µm
_037_,3.1µm
net69,3.1µm
_016_,3.08µm
_164_,3.08µm
_034_,3.02µm
_158_,2.98µm
_040_,2.96µm
_161_,2.96µm
net70,2.96µm
net19,2.76µm
_096_,2.74µm
net20,2.74µm
_116_,2.64µm
net43,2.64µm
_020_,2.62µm
_125_,2.62µm
_126_,2.62µm
_146_,2.62µm
_156_,2.62µm
_162_,2.62µm
_081_,2.52µm
_036_,2.5µm
_052_,2.5µm
_095_,2.5µm
_133_,2.5µm
net16,2.5µm
_021_,2.305µm
_139_,2.3µm
_144_,2.3µm
_150_,2.3µm
_159_,2.3µm
_001_,2.28µm
_010_,2.28µm
_018_,2.28µm
_015_,2.18µm
_023_,2.18µm
_155_,2.18µm
net40,2.18µm
_019_,2.16µm
_123_,2.16µm
_170_,2.16µm
_118_,2.04µm
_140_,1.84µm
_011_,1.82µm
_008_,1.7µm
_025_,1.7µm
_122_,1.7µm
_127_,1.7µm
_147_,1.7µm
_167_,1.7µm
_045_,1.68µm
_084_,1.48µm
_097_,1.48µm
_077_,1.38µm
_091_,1.38µm
net27,1.38µm
net28,1.38µm
net29,1.38µm
net46,1.26µm
_101_,1.14µm
_032_,0.92µm
_089_,0.92µm
_117_,0.92µm
_163_,0.92µm
_165_,0.92µm
_085_,0.8µm
_098_,0.8µm
_099_,0.8µm
_100_,0.8µm
_102_,0.8µm
_103_,0.8µm
net66,0.46µm
