Instance name, X location, Y location, Voltage
x61_4, 61.02, 29.92, 1.79997
FILLER_0_7_122, 61.02, 29.92, 1.79997
FILLER_0_7_134, 61.02, 29.92, 1.79997
FILLER_0_8_129, 61.02, 29.92, 1.79997
x13_5, 74.08, 29.92, 1.79997
x45_11, 74.08, 29.92, 1.79997
x5_11, 74.08, 29.92, 1.79997
FILLER_0_8_158, 74.08, 29.92, 1.79997
x11, 87.14, 29.92, 1.79996
x14, 87.14, 29.92, 1.79996
x2, 87.14, 29.92, 1.79996
x3, 87.14, 29.92, 1.79996
x33, 87.14, 29.92, 1.79996
x4, 87.14, 29.92, 1.79996
x41_11, 87.14, 29.92, 1.79996
x45, 87.14, 29.92, 1.79996
x62, 87.14, 29.92, 1.79996
x7, 87.14, 29.92, 1.79996
FILLER_0_7_164, 87.14, 29.92, 1.79996
x31, 100.2, 29.92, 1.79996
x55, 100.2, 29.92, 1.79996
x60, 100.2, 29.92, 1.79996
FILLER_0_7_208, 100.2, 29.92, 1.79996
x32, 113.26, 29.92, 1.79996
x44, 113.26, 29.92, 1.79996
x48, 113.26, 29.92, 1.79996
FILLER_0_7_225, 113.26, 29.92, 1.79996
FILLER_0_8_246, 113.26, 29.92, 1.79996
x3_3, 126.32, 29.92, 1.79996
x3_7, 126.32, 29.92, 1.79996
x43_6, 126.32, 29.92, 1.79996
x43_7, 126.32, 29.92, 1.79996
x43_9, 126.32, 29.92, 1.79996
FILLER_0_6_249, 126.32, 29.92, 1.79996
FILLER_0_7_250, 126.32, 29.92, 1.79996
FILLER_0_7_270, 126.32, 29.92, 1.79996
x2_9, 5.52, 24.48, 1.79999
x42_9, 5.52, 24.48, 1.79999
x7_10, 5.52, 24.48, 1.79999
PHY_EDGE_ROW_4_Left_14, 5.52, 24.48, 1.79999
PHY_EDGE_ROW_5_Left_15, 5.52, 24.48, 1.79999
x4_10, 139.38, 24.48, 1.79993
x4_8, 139.38, 24.48, 1.79993
x56, 139.38, 24.48, 1.79993
PHY_EDGE_ROW_4_Right_4, 139.38, 24.48, 1.79993
PHY_EDGE_ROW_5_Right_5, 139.38, 24.48, 1.79993
FILLER_0_4_285, 139.38, 24.48, 1.79993
x2_3, 13.68, 24.48, 1.79999
x2_7, 13.68, 24.48, 1.79999
x42_3, 13.68, 24.48, 1.79999
x8_5, 13.68, 24.48, 1.79999
x8_6, 13.68, 24.48, 1.79999
FILLER_0_4_11, 13.68, 24.48, 1.79999
FILLER_0_5_20, 13.68, 24.48, 1.79999
x1_0, 34.9, 24.48, 1.79998
x45_4, 34.9, 24.48, 1.79998
x46_4, 34.9, 24.48, 1.79998
x5_3, 34.9, 24.48, 1.79998
x61_2, 34.9, 24.48, 1.79998
FILLER_0_5_51, 34.9, 24.48, 1.79998
FILLER_0_5_57, 34.9, 24.48, 1.79998
FILLER_0_5_69, 34.9, 24.48, 1.79998
x11_0, 47.96, 24.48, 1.79998
x12_0, 47.96, 24.48, 1.79998
x38_0, 47.96, 24.48, 1.79998
x38_1, 47.96, 24.48, 1.79998
x38_2, 47.96, 24.48, 1.79998
x46_0, 47.96, 24.48, 1.79998
x5_7, 47.96, 24.48, 1.79998
FILLER_0_5_100, 47.96, 24.48, 1.79998
FILLER_0_6_106, 47.96, 24.48, 1.79998
x13_3, 61.02, 24.48, 1.79997
x13_4, 61.02, 24.48, 1.79997
x45_8, 61.02, 24.48, 1.79997
x45_9, 61.02, 24.48, 1.79997
x5_8, 61.02, 24.48, 1.79997
x5_9, 61.02, 24.48, 1.79997
FILLER_0_5_109, 61.02, 24.48, 1.79997
FILLER_0_5_113, 61.02, 24.48, 1.79997
x45_10, 74.08, 24.48, 1.79996
x46_10, 74.08, 24.48, 1.79996
x46_9, 74.08, 24.48, 1.79996
x5_10, 74.08, 24.48, 1.79996
FILLER_0_5_156, 74.08, 24.48, 1.79996
x18, 87.14, 24.48, 1.79995
x40, 87.14, 24.48, 1.79995
x41_10, 87.14, 24.48, 1.79995
x43, 87.14, 24.48, 1.79995
