net,length_um
vref_z_p_o[8],6.91µm
vss_p_o[7],6.91µm
vss_p_o[9],6.91µm
_151_,6.76µm
_146_,6.66µm
_142_,6.61µm
vref_z_p_o[1],6.57µm
net28,6.52µm
_030_,6.3µm
_077_,6.26µm
vref_z_p_o[3],6.23µm
vss_p_o[10],6.23µm
_141_,6.18µm
_062_,6.16µm
_111_,6.16µm
_042_,6.14µm
_161_,6.08µm
_150_,5.98µm
_094_,5.86µm
_145_,5.86µm
_083_,5.8µm
_166_,5.8µm
_001_,5.7µm
_057_,5.68µm
_110_,5.5µm
_080_,5.43µm
_053_,5.38µm
_098_,5.38µm
_159_,5.38µm
_013_,5.34µm
_156_,5.34µm
single_ended_reg,5.22µm
_079_,5.14µm
_164_,5.06µm
_005_,4.9µm
_114_,4.9µm
_033_,4.82µm
_092_,4.78µm
_167_,4.76µm
_136_,4.6µm
_078_,4.56µm
_125_,4.44µm
_056_,4.34µm
_169_,4.24µm
_126_,4.08µm
_168_,4.02µm
_148_,4µm
_088_,3.9µm
_020_,3.74µm
net31,3.68µm
net35,3.68µm
_007_,3.66µm
_104_,3.54µm
_171_,3.54µm
_081_,3.42µm
_089_,3.42µm
_021_,3.4µm
_010_,3.2µm
_012_,3.2µm
net13,3.1µm
_025_,3.08µm
_085_,3.01µm
_117_,2.98µm
_154_,2.96µm
_129_,2.86µm
net50,2.86µm
_017_,2.74µm
_165_,2.72µm
_065_,2.62µm
_090_,2.62µm
_115_,2.62µm
_122_,2.62µm
_162_,2.62µm
net36,2.62µm
_086_,2.52µm
net16,2.52µm
net18,2.52µm
_095_,2.5µm
_149_,2.5µm
_163_,2.5µm
net42,2.4µm
_006_,2.38µm
_019_,2.38µm
_024_,2.38µm
_031_,2.3µm
_170_,2.3µm
net20,2.28µm
_002_,2.18µm
_008_,2.18µm
_022_,2.18µm
_093_,2.18µm
_016_,2.16µm
_091_,2.16µm
_155_,2.16µm
_099_,2.06µm
_003_,1.84µm
net32,1.84µm
_014_,1.82µm
_023_,1.82µm
_134_,1.72µm
net46,1.72µm
net49,1.72µm
_004_,1.7µm
_131_,1.7µm
_028_,1.6µm
_055_,1.6µm
_102_,1.6µm
net9,1.6µm
_139_,1.48µm
net27,1.38µm
net29,1.38µm
_015_,1.36µm
_121_,1.36µm
_108_,1.26µm
_152_,1.26µm
net43,1.26µm
net45,1.26µm
net47,1.26µm
net48,1.26µm
net44,1.24µm
_097_,1.14µm
_101_,1.14µm
_124_,1.14µm
net15,1.14µm
_138_,0.92µm
_096_,0.8µm
_100_,0.8µm
_109_,0.46µm
net19,0.46µm
