Instance name, X location, Y location, Voltage
_123_, 21.84, 35.36, 1.79993
_125_, 21.84, 35.36, 1.79993
_205_, 21.84, 35.36, 1.79993
output27, 21.84, 35.36, 1.79993
_122_, 21.84, 29.92, 1.79994
_206_, 21.84, 29.92, 1.79994
_244_, 21.84, 29.92, 1.79994
_245_, 21.84, 29.92, 1.79994
fanout94, 21.84, 29.92, 1.79994
_197_, 21.84, 24.48, 1.79995
_201_, 21.84, 24.48, 1.79995
_202_, 21.84, 24.48, 1.79995
_203_, 21.84, 24.48, 1.79995
_124_, 21.84, 19.04, 1.79992
_171_, 21.84, 19.04, 1.79992
_226_, 21.84, 19.04, 1.79992
_228_, 21.84, 19.04, 1.79992
_250_, 21.84, 19.04, 1.79992
FILLER_0_2_29, 21.84, 19.04, 1.79992
FILLER_0_3_28, 21.84, 19.04, 1.79992
_136_, 21.84, 13.6, 1.79982
_149_, 21.84, 13.6, 1.79982
_151_, 21.84, 13.6, 1.79982
_264_, 21.84, 13.6, 1.79982
input2, 21.84, 13.6, 1.79982
input12, 21.84, 13.6, 1.79982
output39, 21.84, 13.6, 1.79982
FILLER_0_0_32, 21.84, 13.6, 1.79982
PHY_EDGE_ROW_8_Left_18, 5.52, 35.36, 1.79992
PHY_EDGE_ROW_9_Left_19, 5.52, 35.36, 1.79992
output25, 5.52, 35.36, 1.79992
PHY_EDGE_ROW_8_Right_8, 139.38, 35.36, 1.79952
PHY_EDGE_ROW_9_Right_9, 139.38, 35.36, 1.79952
input7, 139.38, 35.36, 1.79952
output51, 139.38, 35.36, 1.79952
output58, 139.38, 35.36, 1.79952
output59, 139.38, 35.36, 1.79952
input24, 13.68, 35.36, 1.79992
output26, 13.68, 35.36, 1.79992
output62, 13.68, 35.36, 1.79992
output67, 13.68, 35.36, 1.79992
output69, 13.68, 35.36, 1.79992
_127_, 34.9, 35.36, 1.79985
_134_, 34.9, 35.36, 1.79985
output28, 34.9, 35.36, 1.79985
FILLER_0_9_50, 34.9, 35.36, 1.79985
FILLER_0_9_57, 34.9, 35.36, 1.79985
FILLER_0_9_78, 34.9, 35.36, 1.79985
_196_, 47.96, 35.36, 1.79977
_225_, 47.96, 35.36, 1.79977
