Instance name, X location, Y location, Voltage
output27, 25.14, 38.08, 2.99708e-05
_125_, 25.14, 32.64, 9.44003e-05
_134_, 25.14, 32.64, 9.44003e-05
_205_, 25.14, 32.64, 9.44003e-05
_206_, 25.14, 32.64, 9.44003e-05
fanout94, 25.14, 32.64, 9.44003e-05
FILLER_0_9_50, 25.14, 32.64, 9.44003e-05
_122_, 25.14, 27.2, 3.83365e-05
_202_, 25.14, 27.2, 3.83365e-05
_203_, 25.14, 27.2, 3.83365e-05
_262_, 25.14, 27.2, 3.83365e-05
_124_, 25.14, 21.76, 6.59895e-05
_171_, 25.14, 21.76, 6.59895e-05
_201_, 25.14, 21.76, 6.59895e-05
_204_, 25.14, 21.76, 6.59895e-05
_226_, 25.14, 16.32, 9.28032e-05
_227_, 25.14, 16.32, 9.28032e-05
_250_, 25.14, 16.32, 9.28032e-05
_136_, 25.14, 10.88, 0.000138363
_149_, 25.14, 10.88, 0.000138363
_151_, 25.14, 10.88, 0.000138363
input12, 25.14, 10.88, 0.000138363
output39, 25.14, 10.88, 0.000138363
FILLER_0_0_32, 25.14, 10.88, 0.000138363
FILLER_0_0_52, 25.14, 10.88, 0.000138363
PHY_EDGE_ROW_9_Left_19, 5.52, 38.08, 3.04701e-05
PHY_EDGE_ROW_9_Right_9, 139.38, 38.08, 0.0001857
input7, 139.38, 38.08, 0.0001857
output51, 139.38, 38.08, 0.0001857
input24, 15.33, 38.08, 3.04701e-05
output69, 15.33, 38.08, 3.04701e-05
output28, 37.833, 38.08, 5.71196e-05
FILLER_0_9_57, 37.833, 38.08, 5.71196e-05
output29, 50.526, 38.08, 8.42684e-05
FILLER_0_9_91, 50.526, 38.08, 8.42684e-05
_133_, 63.22, 38.08, 0.000111419
output31, 63.22, 38.08, 0.000111419
_238_, 75.913, 38.08, 0.000138568
output32, 75.913, 38.08, 0.000138568
FILLER_0_9_152, 75.913, 38.08, 0.000138568
input1, 88.606, 38.08, 0.000150211
FILLER_0_9_169, 88.606, 38.08, 0.000150211
_095_, 101.3, 38.08, 0.000161261
_112_, 101.3, 38.08, 0.000161261
input4, 113.993, 38.08, 0.000171407
FILLER_0_9_225, 113.993, 38.08, 0.000171407
input5, 126.686, 38.08, 0.000179651
PHY_EDGE_ROW_7_Left_17, 5.52, 32.64, 0.000115011
PHY_EDGE_ROW_8_Left_18, 5.52, 32.64, 0.000115011
output25, 5.52, 32.64, 0.000115011
output62, 5.52, 32.64, 0.000115011
output70, 5.52, 32.64, 0.000115011
output71, 5.52, 32.64, 0.000115011
PHY_EDGE_ROW_7_Right_7, 139.38, 32.64, 0.000476559
PHY_EDGE_ROW_8_Right_8, 139.38, 32.64, 0.000476559
output57, 139.38, 32.64, 0.000476559
output58, 139.38, 32.64, 0.000476559
output59, 139.38, 32.64, 0.000476559
FILLER_0_7_281, 139.38, 32.64, 0.000476559
_123_, 15.33, 32.64, 0.000104706
output26, 15.33, 32.64, 0.000104706
output67, 15.33, 32.64, 0.000104706
_126_, 37.833, 32.64, 0.000167301
_127_, 37.833, 32.64, 0.000167301
_129_, 37.833, 32.64, 0.000167301
_254_, 37.833, 32.64, 0.000167301
FILLER_0_7_67, 37.833, 32.64, 0.000167301
FILLER_0_8_74, 37.833, 32.64, 0.000167301
FILLER_0_8_81, 37.833, 32.64, 0.000167301
FILLER_0_9_78, 37.833, 32.64, 0.000167301
_131_, 50.526, 32.64, 0.000239544
_132_, 50.526, 32.64, 0.000239544
_196_, 50.526, 32.64, 0.000239544
_224_, 50.526, 32.64, 0.000239544
_225_, 50.526, 32.64, 0.000239544
output30, 50.526, 32.64, 0.000239544
fanout105, 50.526, 32.64, 0.000239544
FILLER_0_8_100, 50.526, 32.64, 0.000239544
FILLER_0_9_104, 50.526, 32.64, 0.000239544
_199_, 63.22, 32.64, 0.000309486
_243_, 63.22, 32.64, 0.000309486
fanout101, 63.22, 32.64, 0.000309486
fanout108, 63.22, 32.64, 0.000309486
FILLER_0_8_131, 63.22, 32.64, 0.000309486
FILLER_0_9_135, 63.22, 32.64, 0.000309486
_265_, 75.913, 32.64, 0.000372821
_267_, 75.913, 32.64, 0.000372821
input10, 75.913, 32.64, 0.000372821
fanout103, 75.913, 32.64, 0.000372821
fanout104, 75.913, 32.64, 0.000372821
FILLER_0_9_162, 75.913, 32.64, 0.000372821
_098_, 88.606, 32.64, 0.000412136
_110_, 88.606, 32.64, 0.000412136
_165_, 88.606, 32.64, 0.000412136
_234_, 88.606, 32.64, 0.000412136
input11, 88.606, 32.64, 0.000412136
FILLER_0_8_168, 88.606, 32.64, 0.000412136
FILLER_0_8_180, 88.606, 32.64, 0.000412136
FILLER_0_9_189, 88.606, 32.64, 0.000412136
_090_, 101.3, 32.64, 0.00044758
_101_, 101.3, 32.64, 0.00044758
_109_, 101.3, 32.64, 0.00044758
_113_, 101.3, 32.64, 0.00044758
_114_, 101.3, 32.64, 0.00044758
input8, 101.3, 32.64, 0.00044758
FILLER_0_8_219, 101.3, 32.64, 0.00044758
FILLER_0_9_215, 101.3, 32.64, 0.00044758
_094_, 113.993, 32.64, 0.000473815
_115_, 113.993, 32.64, 0.000473815
_247_, 113.993, 32.64, 0.000473815
fanout107, 113.993, 32.64, 0.000473815
ANTENNA_1, 113.993, 32.64, 0.000473815
FILLER_0_8_243, 113.993, 32.64, 0.000473815
FILLER_0_9_247, 113.993, 32.64, 0.000473815
input6, 126.686, 32.64, 0.000476559
input23, 126.686, 32.64, 0.000476559
output56, 126.686, 32.64, 0.000476559
output60, 126.686, 32.64, 0.000476559
FILLER_0_8_265, 126.686, 32.64, 0.000476559
FILLER_0_8_273, 126.686, 32.64, 0.000476559
PHY_EDGE_ROW_5_Left_15, 5.52, 27.2, 3.97785e-05
PHY_EDGE_ROW_6_Left_16, 5.52, 27.2, 3.97785e-05
output64, 5.52, 27.2, 3.97785e-05
output65, 5.52, 27.2, 3.97785e-05
output66, 5.52, 27.2, 3.97785e-05
output68, 5.52, 27.2, 3.97785e-05
_170_, 139.38, 27.2, 0.000303737
PHY_EDGE_ROW_5_Right_5, 139.38, 27.2, 0.000303737
PHY_EDGE_ROW_6_Right_6, 139.38, 27.2, 0.000303737
output52, 139.38, 27.2, 0.000303737
output53, 139.38, 27.2, 0.000303737
output55, 139.38, 27.2, 0.000303737
_186_, 15.33, 27.2, 3.97784e-05
_188_, 15.33, 27.2, 3.97784e-05
_192_, 15.33, 27.2, 3.97784e-05
_244_, 15.33, 27.2, 3.97784e-05
_245_, 15.33, 27.2, 3.97784e-05
FILLER_0_5_20, 15.33, 27.2, 3.97784e-05
FILLER_0_6_23, 15.33, 27.2, 3.97784e-05
FILLER_0_7_23, 15.33, 27.2, 3.97784e-05
_214_, 37.833, 27.2, 8.43786e-05
_222_, 37.833, 27.2, 8.43786e-05
_223_, 37.833, 27.2, 8.43786e-05
FILLER_0_5_64, 37.833, 27.2, 8.43786e-05
_087_, 50.526, 27.2, 0.000130421
_088_, 50.526, 27.2, 0.000130421
_128_, 50.526, 27.2, 0.000130421
_155_, 50.526, 27.2, 0.000130421
_249_, 50.526, 27.2, 0.000130421
_179_, 63.22, 27.2, 0.000175805
_198_, 63.22, 27.2, 0.000175805
_200_, 63.22, 27.2, 0.000175805
_209_, 63.22, 27.2, 0.000175805
_239_, 63.22, 27.2, 0.000175805
fanout106, 63.22, 27.2, 0.000175805
FILLER_0_6_132, 63.22, 27.2, 0.000175805
_230_, 75.913, 27.2, 0.00021867
_235_, 75.913, 27.2, 0.00021867
_236_, 75.913, 27.2, 0.00021867
_268_, 75.913, 27.2, 0.00021867
fanout99, 75.913, 27.2, 0.00021867
_099_, 88.606, 27.2, 0.00024992
_185_, 88.606, 27.2, 0.00024992
_187_, 88.606, 27.2, 0.00024992
FILLER_0_6_170, 88.606, 27.2, 0.00024992
_091_, 101.3, 27.2, 0.00028008
_097_, 101.3, 27.2, 0.00028008
_100_, 101.3, 27.2, 0.00028008
_104_, 101.3, 27.2, 0.00028008
_105_, 101.3, 27.2, 0.00028008
_108_, 101.3, 27.2, 0.00028008
_111_, 101.3, 27.2, 0.00028008
_229_, 101.3, 27.2, 0.00028008
FILLER_0_6_222, 101.3, 27.2, 0.00028008
_093_, 113.993, 27.2, 0.000301684
